Character,Quote
Bobby," [about Connie] Connie, I rehearsed an apology but I'm gonna throw it away because nothing says ""I'm sorry"" like ""I'm sorry."" Connie, I rehearsed an apology but... [drops the piece of cake and sees her kissing Joseph out the window]"
Dale Gribble," Excellent grouping, Colonel. Plus, those hollow points penetrated Shakespeare all the way into the so-called ""Joyous Comedies"". As you like it? Well, I like it plenty."
Hank, Bah!
John Redcorn, Nancy used to like it when I kept the vest on during sex. Do you want it?
Peggy Hill," Okay. Women and children first. I take the first puff, Bobby here get's the second, if there's anything left...you."
Bobby," My name is Bobby, Uncle Hoyt."
Lucky, Are you saying that Georgers are not normal people because they pay for things with cash?
Bobby, They're going too fast!
Matt, How ya doin'? It's Matt.
Hank Hill," Eh, what is this?"
Hank Hill, Ahhh... AAHH!! NO!!!!!!!!!!!
Hank Hill," Well, I don't know. My toilets have given 15 years of dependable service. I'm not one of those guys who turns 40 and runs out and buys fancy new toilets."
Boomhauer," Yeah, man, talkin' 'bout no dang ol' psychos allowed, man."
Bug Gribble," Oh my god, Hank! Are you gay?"
Cotton,"(After kicking down a wall Hank just finshed making) ""That was in my way!"""
Hank Hill," (realizes the watch was 10:30) Oh, my God. Peggy, it's 10:30!"
Hank," Peggy, do you want another ""Bill"" on your hands?"
Peggy Hill," Well, well, well."
John Redcorn, Pe-eggy Hill.
Dale," (After a trampoline falls on his foot) Aah! This is a sign that we have been playing God with Buckley's trampoline and now God is playing God with us, and He's a whole lot better at it. I refuse to touch this portal to hell!"
Peggy Hill," I know it is not my fault. If anything, this is your fault. You made him go to that camp with no toilet doors."
Tilly Hill, (sighs) It was Chicken Almondine.
Hank Hill," Uh, well, I'm trying to be your coach. I... It's... It's inspiring."
Hank Hill, Six AM and already the boy ain't right...
Hank Hill, You gotta give a hundred and ten percent. That's what'll give you that winnin' edge.
Hank Hill, Wait a minute. I know that smell. [Bobby gasps.] Fire!
Hank Hill," (sighs) Yeah, I could use one too."
Bobby Hill, Push! Push!
Luanne Platter Kleinschmidt, Uncle Hank! Bobby's trying to get out of marrying me!
Kahn," [Answering a knock at the door] Use doorbell, you idiot. [Kahn opens the door and sees Joseph standing there] Connie, it's for you!"
Dale Gribble," Too late, I killed Shackleford! (the police gasp) No...wait, correction, Shackleford wants a pizza."
Dale Gribble," You're like E.T., except E.T. was a purebred alien with a heart of gold. You're only half-alien and at times can be a tad self-absorbed."
Hank," Uh, sir?"
Dale Gribble," Why would I have a problem with it? John Redcorn's gay, and I've been friends with him for years!"
Cotton Hill," Well, you know me-- I'm larger than life."
Peggy Hill," No, uh, I don't know. Thirteen is a very unlucky number."
Hank Hill," Boys, the Welton Wolves have already left their mark on this bridge. Now, what does a cougar do when a wolf comes into his neck of the woods?"
Dale Gribble," I never thought I'd say this, but, I don't think I can finish my beer."
Hank," How could you, Peggy?"
Dale, Then let me do the talking.
Peggy, We'll move to Berlin. Bobby will be accepted there. I read somewhere that Germans are a very tolerant people. Their culture admires all kinds of freaks.
Bobby Hill, I'm ironing underwater. (makes blooping sounds)
Hank," Hey, John Redcorn."
Luanne Platter," Oh, I can't wait to tell Daddy! Oh, we're gonna be a family again! (excitedly exits the garage)"
Angela, Tell me about it. I once fell for a free breast examination in a bar.
Bobby Hill, Since my dad let me smoke a whole carton.
Chuck Mangione, You let a mongoose out in the store.
Dale Gribble," If you want to elect me, Dale Gribble, president of the Gun Club, running on the Save-Your-Sorry-Ass platform, say ""aye."""
Hank Hill," Let me tell you, Bobby, there's nothing ""funny"" about these sounds! What that person on your tape has is a medical disorder. Now you get ready for the game, OK?"
Kahn," Hey Hank Hill, I knew rednecks abandon cars and refrigerators,  guess we can throw kids on the list too! Hahahaha! "
Hank Hill, He thinks just 'cause I'm from Texas that means I'm a redneck. Chinese people and their stupid stereotypes!
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Bill," [sad] You're a mean one, Mr. Grinch!"
Peggy Hill," Well, there's one thing you didn't count on. My brother has got size 6 feet, but I don't! Ho-yeah!"
Bill," Hmm, my legs work just fine. Isn't that inspiring! (Bill closes the door and starts beating up Dr. Weissman)"
Kahn Souphanousinphone," I will now tell stories of my childhood in Laos. Growing up in the village, I had two chickens. One of these was named ""Phouma."" I don't recall the name of the other chicken. Sometimes I would put both chickens in the wheelbarrow. This was very funny."
Peggy," He's gay now, if that makes you feel better."
Deprogrammer #2," Yeah, it was a lucky break. This cult has lawyers up the ying-yang."
Bill," (In a self-help class in a mental hospital) It's just that in the alley, no one cares what I have to say, but here, I feel heard and accepted and dare I say... loved?"
Peggy Hill, Close the damn door!! Can't you see that I am knitting!!
Enrique, Or wieners.
Hank, I still can't believe Bobby cheated on his paper route. I don't even know know how to punish that.
Hank, Why couldn't it have been me and Boomhauer that did something horrible to you guys?
Hank," Sorry Bill, but that is what you get for having a mouthful of banana when we called ""not it""."
Ma Platter, Is that Peggy? Tell her we use butter in this house!
Luanne," OK Luanne, how do they get out of the closet? (gasps) Ohhh, No, that won't work."
Announcer, There's a crazy man on the track!
Bobby," I'm not, just a big disappointment to you?"
Bobby," Oh, yeah. I just usually drink 30 ouncers, but hey, it's the weekend."
Chappy," I live in a shack, I poop in an outhouse, I eat what I kill."
Peggy{thinking about Doc Platter}," No, not in particular."
Anthony Page, (sighs) Never mind.
Bobby Hill, Can I help?
Bobby, But he can have a new flavor every day! He's dating the ice cream lady!
Hank, That sounds more like Mihn.
Luanne Platter, I know y'all don't mean none of those harsh words. It's just the nicotine withdrawal.
Wikipedia has an article about,
Hank Hill(To Dale)," It's gonna take a lot of hard work to repair this floor, and since this is all your fault, Mister, I'm not gonna let you help me."
Dale," We have no choice, Hank. The I.N.S. had their cameras trained on us. The border guards think we're smugglers. I'm too pretty to go to jail!"
Bill, 'Cause Boomhauer's a saint.
Hank Hill, It's time to rock.
Cheat Elderson," [to Dale] Hey, shades. Plug in my Alamo sign, will you?"
Clark Peters," Hey, Bobby, if you don't beat Connie, we don't know what we'll do. So you better beat her!"
Dale," No, I didn't. (The truck crashes into the garage door). I guess I'd better get goin', ah, I got some edging to do. (Dale grabs his cap out of the engine and he, along with Bill and Boomhauer, run back to their homes)."
[Dale has hired Octavio to destroy a puppet that frightens him. Octavio spies on Hank and Bobby while Dale spies on Octavio.],
Bobby, Finally. Yes. Thank you. It's time to kick their local asses!
Dale Gribble," [as he sings, he sits back and tries to plug in the sign.] (singing) Be-a-bay, be-e-be, be-i-bickey-bi-be-o-bo-bickey-bi-bo--"
Luanne," Bobby, it's perfectly natural to want to see a woman naked, but I am your cousin. Now, the first time was an accident, but if I catch you again, you are going to hell."
Bill Dauterive, He looks like an angel. A dead angel.
Peggy Hill," (gasps and drops Ladybird's food dish in shock) Oh, I knew it! I just knew it! I told them medium security would not be enough to hold that woman!"
Hank Hill, I am in the Hall of Flame too?
Store Clerk," I am sorry, but the computer won't let me erase anything until you either return the tape or pay the $40."
Peggy is attempting to say the names of reproductive organs for a sexual education class.,
Bill Dauterive," It's some kind of Athlete's Foot. I've been using this spray for 10 years. ""Quick working"" my ass."
Hank Hill, Why would anyone do drugs when they can just mow a lawn
Cotton," Mr. Reaper, I'd prefer that you put your hood back on."
Peggy{recalling Maddy Platter's abrasive attitude}, How did you know?!
Bobby Hilll," ""... Not like butane and those other bastard gasses."""
Bobby Hill," I'm at the Get In, Get Out. I hope you're happy. I'm just prostitutes by panty hose!"
Dale Gribble, A.M.?!
Dale, Now just follow my lead and play it cool.
Bill," (Trying to put on his old football helmet) Hank, how did my head get so fat?"
Luanne," Let's see, how can I explain this...? You know how you can be happy eating vanilla ice cream day after day after day? Well, Mr. Boomhauer isn't just like that. See, he likes to try different flavors."
Dale Gribble," Wait a minute. Every time I leave, you call John Redcorn. I know what's going on here. Your headaches are a desperate bid for my attention. But what do I do? I pawn you off on some Indian healer so I can have my Dale time at the gun club, or breeding show turtles, or on the Internet investigating unexplained phenomenonon. God, I am so selfish!"
After Dale tells Hank he saw him driving away from the explosion,
Hank Hill, (frustrated) Sit down.
Peggy Hill," Well, look at us. At each other's throats. And after all we've been through. This family has survived fires and twisters and every strain of flu the Orient could throw at us. Well, we are not going to be done in by a lousy tobacco leaf. We're gonna make it. Together."
Bill," Oh, what are you going to do, shoot me with my beer? I don't think so!"
Luanne Platter," Aunt Peggy, Mister Kahn saw me naked!"
John Redcorn, My people believe that dreams of the unconscious mind trying to solve a problem with the conscious mind cannot. Is there anything unusual going on with you?
Bobby," Why? Because beer's not TV-14? Set me up, my man."
Peggy Hill," Oh, honey, you are not trash just 'cause you grew up in a trailer and your mama's in prison."
Hank, What?
Hank Hill," Indeed sir, I cannot begin to say how sorry I am."
Boomhauer," I tell you what, ain't no dang ol' lady 'bout her man. She get all liquored up man, all comin' on strong an' pawin' me like a dang ol' animal, man. I tell her ""no means no!"""
Lucky, Good for you. Happy Birthday Aunt Peggy.
Dale Gribble," Oh, I needn't, shouldn't I? And maybe I should not know that all Mega Lo Mart employees have a five thousand dollar insurance policy."
Hank, Uh-huh.
Luanne," (as the Manger Babies) We're free, we're free, whoo."
Boomhauer, Uh huh.
Hank," I have tried with all my might to save you from yourself, Mr. Strickland. Well, not anymore. You're on your own. You should be ashamed of yourselves. And that includes you, Ms. Scovall. You have not honored propane."
Connie, We'd better go.
Hank Hill, (groans) Dang it.
Hank," Using a saw for a weapon makes about as much sense as using a gun to cut a two-by-four. That's how my dad built my treehouse... how he cleaned it, too."
Connie," Well, um, you see, uhh..."
Bobby," (Mocking his dad) Git out my house! My boy ain't much, but he's all I got!"
Dale Gribble, (spits out his beer in shock) That woman is a menace to society.
Hank Hill," Better not, Dale. It doesn't work right, remember?"
Peggy {on cell phone}, Y'ello?
Buck," I let you light the torch, didn't I? Right now my hounds are starving!"
Dale, Let go of my finger!
Hank Hill, Soccer was invented by european housewives as a way to keep busy while their husbands did the cooking
Dale," ""That makes a whole lot of sense... A whole lot of nonsense!"""
Joseph, I can't help myself. I've got a monkey on my back and it wants to see Luanne naked!
Dale Gribble," Anyhoo, I just stopped by to pick up my buddy Boomhauer. You see, we're both in here by mistake. Now I can't vouch for Boomhauer, but I am most definitely not crazy."
Dale, (Talking into tape recorder) 10:15. Hank picks up Hal.
Buck," Listen up, we are a family, and the daddy ain't feeling so good. Ladies, I got a shot coming. If you girls would please step outside? It is rude for such pretty gals like you to have to see my bare bottom."
Hank, Okay. (realizes he's in the Adult Section and he rushes out in horror) BWAHHHHH!
Leanne Platter, Not so good. My best reference just went in for chemical castration.
M.F. Thatherton," ""D"" for done."
Pollard Wigand," Mr. Hill, we had a chance to go over the case with your employer, Buck Strickland. He convinced us that while your actions last night were wrong; you are contrite about it, and that your actions over the past twenty years more than atone for it. He was very persuasive. As a result, the board has unanimously approved Mr. Strickland's nomination for membership in the Propane Hall of Flame."
Khan," Last night, I catch Bobby half-naked in Connie's room!"
Cotton," (shown in a flashback to Hank's youth) I got my shins blowed off by a Japanman's machine gun, so don't come cryin' to me with your problems!"
Peggy, I want you to tell Bobby that your love for him is unconditional.
Bobby," No, all he did was fall flat on his face and embarrass himself, and us by association, we didn't even get to ride the wave."
Hoyt, (giving Bobby a gift) Here's something for this kid of yours.
Kahn," Why you want to call that nut for? Border right there. Millions of people cross over every day. We can, too. No big deal."
Nguc Phong," Yes, that was unhappy for me."
Dale," I said, ""10:15, Hank picks up Hal!"""
Team & Hank Hill,  Gooooooood bless America!
Hank," Uh, huh, you know, uh, feelings of, uh, fondness, and more, uh, heh, uh, you know what I mean, don't you, boy?"
Bobby, You mean the penis?
Bill, Five days? We can wait that long.
Dale Gribble," ...Now that we're up here, what is so damn important?"
Senior#1," (Enters the boys' bathroom with his friends while Bobby is washing his hands) ""Ha. Hey, Fresh meat, This is the seniors bathroom. I'm gonna shove your head in the toilet""."
Hank Hill," Great Joe Jack, how is your gambling problem?"
Hank," And did you hire those women of...""easy virtue"" to frame Patch and to break up the wedding?"
Wally, Nice pool. What say we jump in and see what floats?
Hank Hill," Dale's losing it at Mega Lo Mart, Nancy. We need some traps for the rat, and a tranquilizer gun for... uh... also for the rat."
Peggy Hill (To a group of soccer moms), If we were in Canada you ladies would be snooty Quebecoise.
Dale Gribble," Prepare to be beaten by the deadliest form of martial arts. Monkey style! Ooh, ooh, ahh, ahh!"
Hank Hill, [Shouting] You're fired!
Hank, [seeing Bobby meditating like a sumo] No way. No got-dang way!
Cotton Hill, They got the water what don't give you the hot poops!
Hank," In heaven… Hey, that's Todd!"
Luanne," Touch me again, and you'll be wearing that cornpone, old man."
Peggy," Well, Bobby ought to know about 'em. We don't want him growing up as repressed as we did."
Kahn, Prepare your brain for razzle-dazzle!
Dale," (When Dale's Porta Potti collapses while Hanks's in it) ""He's a squatter!"""
Kidney Boy and Hamster Girl, A Love Story [5.20][edit]
Dale," You're not familiar with the game, are you?"
Hank Hill," Oh, heh-heh..."
Hank, Santa Claus is for babies!
Peggy Hill, I will not have you running around all glammed up like Phyllis Diller!
Nancy Gribble," This is supposed to be my re-wedding to Dale! My second chance! Why is God punishin' me? (looks up with her arms in the air) Why, sug?!"
Hank, Guess who's joining us for dinner?
Leanne Platter, It was supposed to be a surprise! (punches Bill and belches) I need a smoke!
Peggy Hill," Well, whoop-dee-do! I am the smartest hillbilly in Hillbillytown!"
Luanne," Thank you, assistant manager. Me-how can we ever repay you?"
Junichiro, He will be proud of me. I was abrupt with an elderly woman.
Bobby Hill," Dad, I'm confused. So you should trust people until they betray you, and then try to blow them up?"
Witchard, (screams)
Bobby, Can I put a gun rack on my bike?
Bobby Hill, Hello? That's all you got? Just what the heck is going on?
Nancy, Did you win?
Hank Hill," You might have noticed in tonight's episode, there is some brief nudity. Now, as an actor, I only do nudity when I feel the script warrants it. And I thought tonight's episode only warranted seeing the side of my rump. You can believe me when I tell you the Fox executives were pushing for a whole lot more. If any of you were offended by my body, I'm truly sorry. Good night."
Hank Hill, Thank you!
Peggy Hill, (Gasps) Where's Bobby?
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Sheila, It's just us tonight. (She tries to kiss Dale)
Cotton Hill," IT WAS CYANIDE, WOMAN!"
Gary Kazner," There's a uh, what are those things called?--A semi, a demi, a coupla'-dozen-wheelers."
Dale Gribble," (holding a plate of macaroons, small macaroons on one side, large macaroons on the other side) Macaroon? I've got entrance wound size, and exit wound size. (The small macaroons are called ""entrance wound size"", and the large macaroons are called ""exit wound size"".)"
Lucky, They keep restricting what barbers can do. My guy says he can no longer preform dentistry.
Kick the Butt Club Counselor," Oh, no. How long have you been addicted to cigarettes?"
Peggy," Okay, get this. I combined two common items in a powerful new way. I told my readers to harness the cleaning power of ammonia with the whitening power of bleach."
Dale," No. Hank must never know we were in here. Our society stigmatizes the mentally ill... and rightfully so, these people are nuts!"
Luanne, My class was cancelled and the library was closed. I love college.
Hank," Yes, sir?"
Hank Hill,"I don't have an anger problem, I have an idiot problem!"""
Joseph Gribble, HA! HA! LOOK AT IT BURN!
Kahn Souphanousinphone, Shut mouth and open mouth.
C. Everett Koop, -pation.
Pollard Wigand," Congratulations, Hank."
Bobby," Dad, a man took pictures of me!"
Dale Gribble,"  Attention homosexuals and so called ""bi""-sexuals."
Matt, Not important. What is important is that we have a bigger selection and lower prices than Arlen Video.
Hank Hill," Oh, sorry."
Matt, Pretty good. Pretty good.
Bobby Hill," Oh, really? Well, you might want to check your watch, buddy boy. It's 10:30!"
Peggy, (giving in) Take my car. It's a chick magnet.
Hank Hill," How is cutting down on pollution a government plot, Dale?"
Bobby, No.
Joseph Gribble," Dad, where the Hell are you? DAD!"
Bill," But, I belong to something great here. I've even got a nickname: ""William""."
Cotton Hill," Bobby, I'm proud of what you did at school today....So I'm buyin' you a hooker! Go ahead pick yourself out a live one."
Cotton Hill, You wanna kill a Nazi? You wanna kill a Nazi? A Nazi-Squazzi?
Hank," Bobby, you ever heard of a movie called Cuffs & Collars?"
Hank," Okay team, gather 'round. I'm going to tell you about the new improvements on the Vogner 2800 series. The first thing is that it will smoke your meat. And it's got a nice big rack for your buns."
Dale, Children see the world through innocent eyes. My book will change that.
Bobby Hill, Momma. It's your son. Nine months inside remember? Those were good times too!
Peggy," (sighs) I need a dryer, Hank. Just pay for the tape."
Bobby Hill," Mom this is not your son, this is your buddy!"
John Redcorn, (to Nancy) He's taking some of the fun out of this.
Hank," (phone rings) Strickland Propane. ""Taste the meat, not the heat."""
Dale," Dear Octavio, this is the hardest letter I've ever had to write..."
Junichiro, Hwah!!!
Nearby Customer 2," He sure has a temper, doesn't he?"
Hank Hill," Uh, I'd rather not."
Marlene, I'm going to be honest with you -- I only understand about half of what you say. The other times I just nod and smile and wait for your pants to come off.
Kahn Souphanousinphone, I use secret Asian watering technique! I could spit in a thimble and water Central Park.
Cotton Hill, AMEN!
Hank Hill," Not now, Bobby, I'm in the middle of somethin'!"
Bobby," Wait a minute. Wait a minute. They're buying me a movie for my birthday. That's why we're here, right?"
Nancy," You know Luanne really shouldn't waste this kind of talent on church. If you want, I could show this tape to my boss at channel 84. He's always looking for quality children's programming and home videos of things blowing up."
Kahn Souphanousinphone," Chaos already ruling. This like when city of Luang Prabang fall, and we snag sweet diplomatic license plates!"
Hank Hill," Okay, I'm lookin' for a tap-and-die and some WD-40."
Dale Gribble, You're living in a T.P. fort.
Hank," [chuckles] He, he. I wish they'd move."
Bobby Hill, (wrapped around in guitar spinning by a ZZ Top guy) Do it again!
Dale Gribble, Quit screwing with my mower.
Bobby Hill," Grandpa, could you at least respect Grandmom until we get to dessert?"
Sign, HELP WANTED
Mr. Strickland, But Miz L...
Dale Gribble, My gerbil screwed me!
Hank," Here under employer you put Costco, you never worked for Costco."
Peggy, Let's practice. I'll be Kahn. [clears throat] You are a dumb redneck!
Hank Hill,"  Dad, this isn't right. If you call him Good Hank, it's gonna make it sound like I'm Bad Hank."
Junichiro, It is one of the businessmen I exchanged cards with! See? Japanese politeness is surprisingly effective! He just saw shinless stranger boarding at train station. He say he buy train ticket and... dishonor pay toilet.
Bobby, Uh-huh.
Hank Hill," No, Bobby. You don't..."
Hank, I'm gonna kick your asses!
Hank Hill, What did I do to deserve this? I didn't mean to curse my wife to Hell!
Hank Hill," No, we were not. It was a trick."
Peggy Hill," Excuse me, ma'am, but that was my fork."
Head Jane," You sound like an amazing person, I would love to get in your head. I bet you have many friends."
Dale Gribble, No! NO!
Vickers," Yes, sir!"
Hank," I told you I didn't rent the tape, now who is calling me a liar, you or the machine? 'Cause I wanna know whose ass to kick!"
Hank," No, it's not!"
Witchard, Do it you- you monkey boy! I'm the boss of you!
Peggy{thinking about Hank}," No, I can't say he ever did that."
Hank Hill," Can't you see you're not making Christianity better, you're just making rock and roll worse?"
Bill Dauterive," Well, I dunno, I never met the lady, but she did her time."
Minh Souphanousinphone,": Thank you for Boggle lesson, Peggy Hill. Maybe next weekend I teach you mahjong. Bring your checkbook!"
Doug the basketball coach, Bounce a ball in hockey?! Well that's a mandatory drug test right there!
Bill, You let go of my beer!
Ted{meekly}, Done!
Hank, There's soot under my boy's nails. You don't get that from a clean-burning fuel.
Sheila," Well, it's getting late. You want to go downstairs. I got us a room, I'm warming up some brandy in the coffeemaker."
Hank Hill," Bobby, where are you?"
Peggy," Hank, there's something I have to tell you."
John Redcorn, Hank.
Cotton, This was supposed to happen to you. You're worthless. You're not even good enough to be married to my worthless nothing of a loser son!
Witchard, Not that way! Just run across.
Bobby," (When Connie referred to Bobby as 'just a friend) ""Don't use the 'f' word on me, not me; This is your cuddle monster talking."""
Dale Gribble, What happens if my tee shot lands on a bird's back and he carries it out of bounds but then is attacked by a larger bird who grabs the ball and drops it in the hole? Is that still a hole-in-one? Because that's how I'm going to play it.
Hank, 20% shrinkage?! You want me to put a patch on my what?!
Hank," Oh, God!"
Buck Strickland, Cut... Why you son of a... [Buck jumps on the bed and he and Ray Roy start fighting]
Hank, Now what's that supposed to mean?
Bobby Hill, How do I do that?
Minister," Bravo, bravo."
Didi Hill," Sorry I'm late; I had to take three buses to get here: one to get here, one to go back and get G.H., and one to get here."
Hank Hill," Baboon? Dale, don't tell Glidewell there's a baboon. It's not a baboon."
Minh Souphanousinphone," Kahn, please. For once try not to piss off neighbor. We kicked out of Laos, we kicked out of Anaheim... I tired of running."
Bill Dauterive," Sure, that's what you say. I don't see you waving your narrow urethra around."
Dale Gribble," Booooo! I am a high-priced Washington lobbyist, peddling influence! Who wants candy?"
Hank Hill," No, I don't."
Dale Gribble," Computers don't make errors. What they do, they do on purpose. By now, your name and particulars have been fed into every laptop, desktop, mainframe, and supermarket scanner that collectively make up the global information conspiracy, otherwise known as... ""the Beast""."
Hank Hill, Dallas? I don't want you going to Dallas at all! That place is crawling with crack heads and debutantes. And half of them play for the Cowboys.
Kahn Souphinousaphone, Chain-smoking anorexic vs. that heart attack waiting to happen! Who will die first? Let's watch!
Bill, CHUUUUUCCCCCKKK!
Joesph," Sorry, I just... I thought you liked me."
Hank Hill, What the hell kind of country is this where I can only hate a man if he's white?
Bobby Hill, I ate hippie gumbo!
Hank Hill, Stop spinning my son!
Dale," ""I killed eight gophers last year and a purebred Tennessee walking horse that was looking at me funny."""
Bobby, What if somebody wants theirs well-done?
Dale Gribble, Be-u-bu...
Dale, Be careful what you wish for.
Hank Hill," Aw, you're not stupid. Heck, you're smarter than me."
Dale Gribble, How could you do this to me Puff-puff
Peggy, Dale and Nancy?
Lucky," Not that there's anything wrong with your premise but no, it wasn't us."
Sheila," Don't you just find the mating habits of animals fascinating? When a pigeon wants to mate, it makes this noise. Coo. Coo."
Bill, I would never join a religion that restricted my diet. I don't want to get into heaven that way.
Hank Hill," Hey Boomhauer, you any closer to getting married?"
Hank," About that science teacher of yours, does he ever talk about, uh, going green?"
Luanne," Omega House, party, woo hoo!"
Hank Hill," Whatcha listenin' to, son?"
Peggy Hill, Song of Solomon.
Miz Liz, Please forgive me for stealing your thunder Hank. Please continue.
Announcer," Oh, and there goes Gordon into the wall!"
Bobby Hill, Why do you hate what you don't understand?
Peggy, ...a rather obvious difference.
Hank Hill, And it'll match your ass when I'm done kicking it!
Dale," Gentlemen, the crap has literally been scared out of me."
Buck Strickland," Oh, Hank, we were just letting off a little steam."
Kahn, Full membership!
Hank Hill," Well, you're smarter than anyone else in Arlen."
Hank Hill, Huh?
Dr. Weissman," Ohh, are you upset or something? I said you had diabetes, not cry-a-betes."
Connie," ""Oh, gross! You licked it!"" (runs off, Joseph puts down his drink)"
Hank, She already told you?
Hank Hill, Uh...she's coming here?
Dale, ...so Bill's a vole.
Bobby Hill, What are YOU DOING?!? THAT'S YOUR DAD'S SLEEPING BAG!
Dale," ""Turbines!"" (NOTE: He is in a air vent filled with roaches, he promptly rotates and kills several)"
Bobby, Yep.
Buck, Let's see what that fancy business school degree of yours is worth.
Hank, I've never even heard of that. Have you?
Kahn, She bluffing! Finish her!
Luanne Platter, Guess who I ran into at the gym... Buck Strickland! He watched me do Tae Bo and he thinks I'd be a great boxer!
Wikipedia has an article about,
Wally," [mockingly] ""Weh Beh guh hum..."""
Dale Gribble, I've always wondered why I hated the federal government or loved tobacco with such passion. But now it all makes sense!
Dale," That lot's full, but Bill says I can put overflow parking poolside at Luanne's house. [yells to Octavio, off-screen]"
Hank Hill," Heh, you were right, Bobbies. Ventriloquism is fun."
Bobby Hill," Will you stop talking about your stupid tile?! If it's so dirty go clean it, and if it's clean you can shut up!!"
Hank, It's Christmas and Bill's happy. I'll tell you how Jesus feels-- great.
Dale Gribble," Find the body yet, Quincy?"
Hank, [sighs] We're too late. Our dad's on his way to spit in the emperor's face.
Hank Hill," Bobby, I didn't think I'd ever need to tell you this, but I would be a bad parent if I didn't.  Soccer was invented by European ladies to keep them busy while their husbands did the cooking."
Peggy," [Surprised] Oh my god! Hank, I was joking!"
Peggy, What are you doing? That is not a proper way to interview!
Dale Gribble," I don't mean to sound racist, but this by far is the best selection of beans I have ever seen. I'm serious."
Peggy," Now, Bobby, you may have noticed that there is a difference between a man and a woman."
Bobby, DAD! DAD!
Pollard Wigand," Mr. Hill, your guilt hardly seems to be an issue. So we can move right on to the punishment phase, which, as a preview, will be severe."
Dr. Tate," Mr. Hill, are your shoes fake feet?"
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Carl Moss," Give it a rest, Hank. All parents care about these days is zero-tolerance drug policies and literacy. ""Why can't Johnny read?"" ""Why can't Johnny read?"" God, that gets old."
Hank Hill," Well, then you gotta try even harder."
Bill, (On tape recorder) What?
Hank Hill, So are you Chinese or Japanese?
Dale Gribble," I had no choice! I tried planting the ants in your driveway, but they didn't take! They couldn't bite through cement! They're weak, like me! [Wheezes]"
Wally, Beer.
John Redcorn, Come in. I'll brew some chamomile tea.
Hank Hill, Bobby?
Dale Gribble," Well, Joseph went to his first sleepover last night. Didn't go so well, he's a cuddler, so I had to go pick him up."
Hank,"  Hi, my name is Ladybird. I like long walks, my arthritis medication, and two cups of kibble a day. I'll try to outsmart you and get three cups, but I know you're too clever for that, Ms. Platter. (Giggles)"
Hank Hill," Look, Luanne, I fought at the Y and trust me, you are no boxer."
Dale," (voice breaking): Arlen, Texas."
Luanne Platter," No, she didn't escape, She was released! She's coming to visit on Saturday!"
