Character,Quote
Hank," Sure we do. I'm drawing the line here, Peggy. My son is not gonna learn this crazy crap! It says right here that he can't take the class without permission from both his parents!"
Peggy," Now, just hold on. Are you saying I'm not good enough to teach my own son?!"
Hank," If you do not approve, you do not have to sign, and I do not approve. Permission denied!"
Peggy," Now, Bobby, you may have noticed that there is a difference between a man and a woman."
Peggy, ...a rather obvious difference.
Bobby, You mean the penis?
Dale Gribble," You don't know who I am, but I know where you live and you better cut it out if you know what's good for you. Oh, and Hank, we changed that tee-off time to 3:00."
Hank Hill," [As a child] When I grow up, I want to sell propane and propane accessories, if my grades are good enough!"
Hank Hill," We of the Order of the Straight Arrow call upon the spirit Wematanye, protector of the sacred ground that brings us cool water to drink and energy-efficient clean-burning propane gas for all our sacred heating and cooking needs. Wematanye says, respect the earth! She's ours, by God, our taxes pay for Her. Also, it says here you gotta love all Her creatures. Let's see...oh, here we go: Though we walk through the valley of the shadow of death, you're gonna recommend us to the spirit in the sky, with liberty and justice for all. Wematanye is with you, and with Texas. Amen."
Hank, Santa Claus is for babies!
Bill," [sad] You're a mean one, Mr. Grinch!"
Hank Hill," Your heart is telling you?!  Who's the boss, you or your heart?  You are!  Your heart is your employee!  So get your heart off its butt and back to work!"
Bill Dauterive, He looks like an angel. A dead angel.
Boomhauer," (crying) Why, man, dang ol' why, why?!"
Dale Gribble, It should have been Bill!
Peggy Hill," Oh, Hank. We never got a chance to talk about your problem. And now... we never will."
C. Everett Koop," Remember, early detection is the key. Now pass in your algebra homework."
Cotton Hill," Goodbye, boy. See you in HELL!"
Nancy Gribble," (on TV) The temperature is a pleasant 70 degrees. And on a more personal note, I'd like to wish my friend Hank Hill a quick recovery from his embarrassing consti-"
C. Everett Koop, -pation.
Hank Hill, (While constipated and watching his dog poo outside) Showoff.
Hank Hill,"""Don't touch me. I'm on the John."""
Hank Hill," You might have noticed in tonight's episode, there is some brief nudity. Now, as an actor, I only do nudity when I feel the script warrants it. And I thought tonight's episode only warranted seeing the side of my rump. You can believe me when I tell you the Fox executives were pushing for a whole lot more. If any of you were offended by my body, I'm truly sorry. Good night."
Hank Hill, What the hell kind of country is this where I can only hate a man if he's white?
Peggy Hill," Do you... do you think my feet are too big, Hank?"
Hank Hill," No, hon. Just... more of you to love."
Peggy Hill,  Ow.
Hank Hill," Oh, sorry."
Minh Souphanousinphone," Kahn, please. For once try not to piss off neighbor. We kicked out of Laos, we kicked out of Anaheim... I tired of running."
Hank Hill, So are you Chinese or Japanese?
Kahn Souphanousinphone," I live in California last twenty year, but, ah... first come from Laos."
Hank Hill, Huh?
Kahn Souphanousinphone, Laos. We Laotian.
Bill Dauterive, The ocean? What ocean?
Kahn Souphanousinphone," We are Laotian--from Laos, stupid! It's a landlocked country in southeast Asia. It's between Vietnam and Thailand, OK? Population 4.7 million."
Hank Hill, So are you Chinese or Japanese?
Kahn Souphanousinphone, [groans]
Hank Hill, He thinks just 'cause I'm from Texas that means I'm a redneck. Chinese people and their stupid stereotypes!
Hank Hill," Please, Kahn. You're burning them! That's too much char."
Kahn Souphanousinphone, Shut mouth and open mouth.
Dale Gribble," They'll probably get you with a blow-dart; that's their way. But you'll just think its a mosquito bite until you die, then you'll know the truth."
Kahn Souphanousinphone," I could just stay home, order a bucket of chicken and watch Hee Haw; same thing [as going to the Hills' for dinner]."
Hank Hill,"  You know Kahn, we may deny our kids completely different deserts, but they both go to bed hungry, and that's what really matters."
Minh Souphanousinphone," Rabbit, you rednecks will eat anything!"
Cotton Hill," Bobby, I'm proud of what you did at school today....So I'm buyin' you a hooker! Go ahead pick yourself out a live one."
Cotton Hill," Well, you know me-- I'm larger than life."
Cotton tells the story of how he was injured in WWII,
"""I was 14, just a little older than Bobby. But I knew Uncle Sam needed me, so I lied and signed up. We had beat the Nazzys in Italy, and they shipped me to the Pacific theater. A Tojo torpedo sent our troop ship to the bottom. I could only save three of my buddies"," Fatty, Stinky, and Brooklyn. They were kind of like you fellas [to Bill, Dale, and Boomhauer], only one of them was from Brooklyn. Out of the sun came a Tojo Zero and put fitty bullets in my back. The blood attracted sharks. I had to give 'em Fatty. Then things took a turn for the worse. I made it to an island, but it was full of Tojos! They were spitting on the U.S. flag! So I rushed 'em, but it was a trap. They opened fire and blew my shins off. Last thing I remember, I beat 'em all to death with a big piece of Fatty. I woke up in a field hospital, and they were sewing my feet to my knees."""
Bobby Hill, [Speaking to Joseph about Connie]: Oow. She's moody. Must be PBS.
Cotton Hill," [to Luanne] You will never know if you are attractive. It's up to a man to tell you that. You keep eating, and I'll tell you when to stop."
Luanne," Touch me again, and you'll be wearing that cornpone, old man."
Cotton Hill, Hoo-wee! Fiesty!
Hank Hill, Dallas? I don't want you going to Dallas at all! That place is crawling with crack heads and debutantes. And half of them play for the Cowboys.
Hank Hill, Now you listen to me! THE NAME IS HANK HILL! MR. HANK HILL! PEGGY MARRIED ME! I DIDN'T MARRY HER! What are you looking at?!
Peggy Hill, [crying] I am so stupid!
Hank Hill," Aw, you're not stupid. Heck, you're smarter than me."
Peggy Hill," Oh, big deal!"
Hank Hill," Well, you're smarter than anyone else in Arlen."
Peggy Hill," Well, whoop-dee-do! I am the smartest hillbilly in Hillbillytown!"
Hank Hill," I-I'm trying Peggy. I just... hey, you know, Coachs used to say something that would fire us up when we were behind."
Peggy Hill," Yeah, what?"
Hank Hill," LOSER! YOU'RE A LOSER! ARE YOU FEELING SORRY FOR YOURSELF?! WELL, YOU SHOULD BE CAUSE YOU ARE DIRT! YOU MAKE ME SICK YOU BIG BABY! BABY WANT A BOTTLE?! A BIG DIRT BOTTLE?!"
Peggy Hill, [crying harder] Why are you yelling at me?
Hank Hill," Uh, well, I'm trying to be your coach. I... It's... It's inspiring."
Peggy Hill," Well, thank you, cause I feel worse than ever."
Hank Hill," Well, it worked for the team."
Peggy Hill," No, It didn't. You went to State and lost."
Hank Hill," Ah, jeez. I think I need one of those $8 beers."
Minh Souphanousinphone,": Thank you for Boggle lesson, Peggy Hill. Maybe next weekend I teach you mahjong. Bring your checkbook!"
Boomhauer, Man that dang 'ol piece of crap dang 'ol blocked up. G-get grass out there that-- [realizes his fingers have been chopped off in the game] AHH! I GOT NO FINGERS!
Hank Hill, Is this John occupied? Esta es Juan occupado?
Bobby Hill, Sí.
Hank Hill, Bobby?
Dale Gribble," Joseph, I understand you smoked your first cigarette today."
Joseph Gribble," Dad, I'm sorry! I'll never smoke again."
Dale Gribble," Whoa, hold on, son! I want you to keep an open mind so you can make an informed decision. If you want, you can read a bloated government report on smoking or go straight to the horse's mouth and get the facts from the tobacco industry!"
Hank Hill," For God's sakes, Bobby, what nationality are you?"
Bobby Hill, American.
Hank Hill, Then why are you holding your cigarette like some kind of European Nazi in a movie?
Bobby Hill, Why does it matter?
Hank Hill," That's not the right sort of attitude for you to have. Whatever you do, you should do right, even if it's something wrong."
Hank Hill," Uh, I got to go do some stuff. I think I might have left the blender on."
Peggy Hill, [to Bobby] Only trailer trash smoke nowadays. Do you wanna look like trailer trash?
Luanne Platter, [crying] That's not fair! I don't smoke! [she runs away in tears]
Peggy Hill," Oh, honey, you are not trash just 'cause you grew up in a trailer and your mama's in prison."
Peggy Hill," Uh, Hank, there is a ""tile"" in the bathroom that I think we missed."
Hank Hill," Really? Well, I better check that out."
Hank Hill," Heh-heh-heh. Well, I found the ""tile"" — thank you very much, Peggy — and I looked at it but there's still some more ""tile"" for you to look at."
Peggy Hill," You know, I think I will save the rest of my ""tile"" for after breakfast."
Bobby Hill," Will you stop talking about your stupid tile?! If it's so dirty go clean it, and if it's clean you can shut up!!"
Hank Hill," [at a cold turkey support group meeting, glaring at the counselor] I got the strangest feeling someone's gonna kick his ass."
Kick the Butt Club Counselor," Hey, there, why don't you tell us your name and how long you've been smoking."
Hank Hill," Uh, I'd rather not."
Kick the Butt Club Counselor, I understand. It's not easy to admit we're weak.
Hank Hill," You're calling me weak?!? Look at your little birdy arms, they're no thicker than a cigarette! I could smoke them little arms!"
Kick the Butt Club Counselor, Is this your son? It's beautiful how you came out to support your daddy.
Bobby Hill," I'm a smoker, too."
Kick the Butt Club Counselor," Oh, no. How long have you been addicted to cigarettes?"
Bobby Hill, Since my dad let me smoke a whole carton.
Hank Hill," Wait a minute, I didn't let him, I made him. It was a punishment."
Bill Dautrieve, Can I get a new buddy?
Audience member, What is wrong with him?
Kick the Butt Club Counselor," You are sick, sir! You shouldn't be allowed to have children!"
Hank Hill," Now hold on a minute here. I didn't bring my family here to be yelled at. I don't think I like this club. You all whine too much, and the coffee's bad. I'll tell you what you need to do. You need to take a thirteenth step... down off your high horse!"
Luanne Platter, Here's to three of the bravest individuals in all of Arlen. To the Hills and their tobacco-free future!
Hank Hill," My God, are you still talking?!"
Bobby Hill, Why's my potato got skin on it? I hate skin!
Peggy Hill," I will not sit here and have my work insulted! What, do you think the potatoes just fly into the bowl and mash themselves?!!"
Luanne Platter, I know y'all don't mean none of those harsh words. It's just the nicotine withdrawal.
Hank Hill, Why is she still talking?!!
Luanne Platter, [after finding Peggy hiding in the closet with a cigarette] I found her.
Peggy Hill, Close the damn door!! Can't you see that I am knitting!!
Bobby Hill,  Mom. Hand over the cigarette!
Peggy Hill, Nooooo!
Bobby Hill," Mom this is not your son, this is your buddy!"
Peggy Hill, NOOOOO!!
Bobby Hill, Hand it over!!
Luanne Platter," [locking the family in the bedroom] I'm crating ya'll in like an unruly dog. I am sick of dysfunctional families. I came from one, and I am not gonna let it happen to you. Function!! Function damn you!!!"
Peggy Hill," Okay. Women and children first. I take the first puff, Bobby here get's the second, if there's anything left...you."
Hank Hill," Who are you trying to kid? We all know there won't be anything left. Lets you and me split it Peg! It'll be romantic! You know like the old days, before he came along!"
Bobby Hill, Momma. It's your son. Nine months inside remember? Those were good times too!
Peggy Hill," I don't know. Now this is just happening too fast, I just don't know."
Hank Hill," Well I do! Come on Bobby, you and I can take her! You go high, I'll go low!"
Peggy Hill," Well, look at us. At each other's throats. And after all we've been through. This family has survived fires and twisters and every strain of flu the Orient could throw at us. Well, we are not going to be done in by a lousy tobacco leaf. We're gonna make it. Together."
(Note, the following quote comes from a deleted scene)
Kahn Souphanousinphone," Put on shoes, hillbilly!"
Kahn Souphanousinphone," Where I come from we got this thing called karma. You do something bad, it come back and bite you in the ass!  Big, white, stubborn ass!"
Bobby Hill, (Hypnotized by the Queen)...YES... ...MY... ...QUEEN...
Hank Hill," (on his mower, talking to an anthill) Put your head between your six legs and kiss your butt good-bye! (runs over the anthill)"
Hank Hill, [After just noticing Dale] DALE!
Hank Hill, Dale you went too far this time! Come back here! [Starts chasing Dale] Come here! I'm gonna kick your ass!
Dale Gribble, No! NO!
Hank Hill, I'm gonna kick it harder if you don't come over here!
Dale Gribble, [desperate] You shouldn't have fired me! You know what I'm like! I'm capable of any crazy thing!
Hank Hill," But my lawn, Dale! You don't mess with a man's LAWN!"
Dale Gribble," I had no choice! I tried planting the ants in your driveway, but they didn't take! They couldn't bite through cement! They're weak, like me! [Wheezes]"
Bobby Hill, Dad?
Hank Hill," Not now, Bobby, I'm in the middle of somethin'!"
Hank Hill," You gave your life to save my son. I guess that makes us even for you ruinin' my lawn. What am I saying? Of course, it makes us even!"
Bobby,"(Talking to a mannequin head) ""You look really special tonight."""
Peggy, We'll move to Berlin. Bobby will be accepted there. I read somewhere that Germans are a very tolerant people. Their culture admires all kinds of freaks.
Peggy Hill," I know it is not my fault. If anything, this is your fault. You made him go to that camp with no toilet doors."
Hank Hill," Don't point your finger at me, woman. You're the one who parks him in front of the TV and makes him watch all them Muppets. They got frogs kissing pigs, what the hell did they think was going to happen?"
Hank Hill," (Seeing Bobby freeing the mannequin head in the cabinets) Well that just tears it! I have tried to be patient, but now it's time for a little tough love! (snatches the mannequin head away from Bobby)"
Wikipedia has an article about,
Seasons, 1 2 3 4 5 6 7 8 9 10 11 12 13 | Main
Bobby Hill," Wow, I always thought this was a crack house."
Bobby Hill, This gun is very nice.
Hank Hill," Yeah, they’re all nice guns and all guns are nice."
Bobby, Can I put a gun rack on my bike?
Hank, Do you know how long I've been waiting for you to ask me that?
Hank Hill," Why don't we get you into one of those safety courses and if you're still interested after they've taken all the fun out of it, then we'll see about the ponchos and the... uh... tournament."
Dale," Guns don't kill people, the government does."
Cotton Hill," Sorry I'm late, I had to stop at the wax museum and give the finger to F.D.R."
Hank Hill, Six AM and already the boy ain't right...
Hank Hill," Don't play mind checkers with me, man.  I'm not in the mood."
Dale Gribble, This tornado's already registered a level two on the Fujisaki scale. A storm that strong will send an egg through a barn door -- two barn doors if one of them's open.
Bobby Hill," What about a level three, Mr. Gribble?"
Dale Gribble," A level three tornado will blow an egg right through a brick wall. Twister chasers call it ""Humpty's Revenge."""
Dale Gribble," All right, twister. It's just you and me now. Ten years ago you took my shed. [the twister's image is reflected on his shades] Did you think I'd forget that? Come on, bring it on! [a raindrop hits the windshield] GAAHH!! No! Please, let me go! [Dale panics, and the Dead Bug veers out of control]"
Hank Hill, Come on. [honks horn] Come on! Let's go! Move that truck! [a worker walks towards his truck] My wife is stuck in Shining Pines.
Decontamination Worker," I'm not authorized to drive the truck, sir."
Hank Hill," My wife is in danger, damn it! Now make something happen!"
Decontamination Worker, [blows whistle] SECURITY!!!
Hank Hill," Bill, thank God! Make this idiot let me pass."
Hank Hill, What did I do to deserve this? I didn't mean to curse my wife to Hell!
Hank Hill, [worried] Ohh...
Hank Hill, Ahhh... AAHH!! NO!!!!!!!!!!!
Bobby Hill, This is the chance I've been waiting for!
Hank," You're tough, Bill. You're the toughest Army barber I know."
Dale," Set your mousse to stun, there, Bill."
Nancy Gribble," Mention your home was destroyed, and get a free 5-pound bag of onions."
Hank Hill, Fine. But I think you owe my lawn an apology. *pauses* We're waiting!
Dale Gribble," Booooo! I am a high-priced Washington lobbyist, peddling influence! Who wants candy?"
Peggy, Luanne and Bobby are at Junie Harper's house
Hank,[Nearly chokes on his beer before swallowing] I came very close to spitting out beer!
Hank," [To Luanne] Just when I think you've said the stupidest thing ever, you keep talkin'!"
Luanne, Halloween is a satanic holiday. It was invented by the Dru-ish.
Hank, Maybe I should tie the long hair on your head to the short hair on your ass and kick you down the street!
Hank," Dale, you giblet-head, if you were gonna cheat, why'd you buy a frozen bass?"
Dale, I had a coupon.
Bobby, Are you taking me to the vet?
Bobby, Hey I'm dressed like a football coach! You call that a block?!
Bobby," Dad, a man took pictures of me!"
Hank," (finding Luanne in bed with Buckley) I'm in a crisis situation here, I gotta go find Bobby. You two take turns kicking each other's asses."
Dale Gribble, I thought we agreed to never discuss the horrors we saw on the killing fields of the Family Fun Center.
Cane Skretteberg," I don't care how many guys you held in the men's room, you still can't beat us!"
Luanne, This is a great Xerox of you!
Bobby, Hey his scoop's bigger.
Pops," And there's doodies in there, right!?"
Hank,(Shouting to Bobby stumbling around on the roof) It's a roof! Not American Bandstand!
Dale," When I need to correct Joseph, I tell him he's adopted."
Peggy Hill, Did a woman ruin the Supreme Court?
Hank Hill," Yes, and that woman's name was Earl Warren."
Bobby Hill, (about an athletic cup) This cup has holes in it. How am I supposed to drink out of this?
Hank Hill," No, Bobby. You don't..."
Bobby Hill, Gotcha!
Hank Hill," Oh, heh-heh..."
Doug the basketball coach, Bounce a ball in hockey?! Well that's a mandatory drug test right there!
Wrestling Coach, Shouldn't you be teaching the girls about their monthlies?
Connie," I wanna go to a party school! Yeah, Chico State!"
Bobby, Some of the older ones have some breasts!
Clark Peters," Hey, Bobby, if you don't beat Connie, we don't know what we'll do. So you better beat her!"
Bill, I'm all for lady's wrestling. Except when they do it in pudding. That's just demeaning to the human beings who make pudding.
Bobby Hill, (Stereotypical Yiddish accent) Blind he's gone now!
Hank, Where's my finger?
Bobby, Are you a war hero like my biological grandfather?
Bobby, That is so Arizona!
Gary Kazner," There's a uh, what are those things called?--A semi, a demi, a coupla'-dozen-wheelers."
Bill, I would never join a religion that restricted my diet. I don't want to get into heaven that way.
Hank, It seems the other eye compensates by shutting itself down. It's one of nature's wonders.
Hank, I'm not gonna be blind forever you know. And the second I see some ass I'm kicking it. Now no more making fun of my blindness.
Bill," Okey-doke. Bring! Bring! Phone for you, Hank [takes off shoe and gives it to Hank]"
Hank," The joke's on you, funny man."
Luanne," OK Luanne, how do they get out of the closet? (gasps) Ohhh, No, that won't work."
Hank, (whispers) Jimmy the lock with a coat-hanger.
Luanne," What? I don't... I can't... hmmm, what?"
Hank," (whispers) Jimmy the lock with a... (sighs) uh, (out loud) I'll save you, Manger Babies."
Luanne, You will?
Hank," Yes, uh, cause I'm the assistant manager of this movie theater. I sell popcorn and popcorn accessories and you are fired."
Luanne," (as the Manger Babies) We're free, we're free, whoo."
Luanne," Thank you, assistant manager. Me-how can we ever repay you?"
Hank, By never forgetting this lesson. Sneaking into the movies is wrong. As wrong as spilling juice on a new carpet.
Minister," Bravo, bravo."
Nancy," You know Luanne really shouldn't waste this kind of talent on church. If you want, I could show this tape to my boss at channel 84. He's always looking for quality children's programming and home videos of things blowing up."
Peggy," Well, Luanne really could use a boost right now, but I could not take advantage of our friendship like that, no."
Nancy," Oh, Peggy, honey. This is show business. That's what friends do."
Hank," Suffering is a part of every religion, Peggy. I mean ... look at what the Jews have been through, and you never hear them complaining."
Hank Hill," Hey Vickers, who do you like for the Super Bowl next year? The Doopie Loopies or the Shimmie Shammies?"
Vickers," Okay, okay, very funny. But I like the Bills."
Buck Strickland," Got-dangit Hank, I'm having an infarction!"
Buck," Listen up, we are a family, and the daddy ain't feeling so good. Ladies, I got a shot coming. If you girls would please step outside? It is rude for such pretty gals like you to have to see my bare bottom."
Buck," OK, now that the skirts are out in the hallway we can get down to business. Hank, you are my right hand man, and I need you to take on this important job."
Hank," Yes, sir?"
Buck, I need you to feed my hounds.
Hank," Uh, sir?"
Buck," Tell them that you will love them! Vickers, you run the company, whole shebang."
Vickers," Yes, sir!"
Buck, Let's see what that fancy business school degree of yours is worth.
Hank," Sir, I fail to see what a business degree has over my 15 years of service to Strickland Propane!"
Buck," I let you light the torch, didn't I? Right now my hounds are starving!"
Kahn Souphanousinphone, Here's key. Lock little sticky. You got to rake it like there's no tomorrow.
Hank Hill, This is a car key.
Kahn Souphanousinphone," Yeah, you win new car. This big game show. Just rake it stupid."
Judge," You will pay the condo manager 8,000 pesos."
Dale Gribble, But if the key does fit then you must acquit--.
Judge," 10,000 pesos. Baliff, confiscate their identification."
Dale, Now just follow my lead and play it cool.
Hank, What if they find Kahn?
Dale," If I know my Mexican legal system, which I do, we'll get about 15 years with a starvation diet of moldy bread and warm water."
Hank, Distilled water?
Dale, (chuckling): No. And of course there is a total lack of toilet paper...and privacy.
Hank," Oh, God, I can't go while people watch."
Dale, Then let me do the talking.
Border Guard, Morning. Where are you gentlemen from?
Dale," (voice breaking): Arlen, Texas."
Border Guard, I've been to Arlen. Nice town.
Dale, Run!
Hank, I think we lost them. We'll be okay.
Dale, Okay?! We're screwed!
Hank," No, we're American. We got to find a pay phone and hope Ross Perot's 800 number's still working."
Kahn," Why you want to call that nut for? Border right there. Millions of people cross over every day. We can, too. No big deal."
Hank, Illegally? No! America is my country and I love her. I wouldn't enter her in any way that's unnatural.
Dale," We have no choice, Hank. The I.N.S. had their cameras trained on us. The border guards think we're smugglers. I'm too pretty to go to jail!"
Hank," It says here I owe $40 and that can't be true. I always bring back my tapes. Look for yourself, I've returned The Great Santini 23 times."
Store Clerk," Okay, Hank Hill, June 23rd. Yeah, you rented and never returned Cuffs & Collars."
Hank, I've never even heard of that. Have you?
Peggy," Nuh-uh. Unless it's got the name Merchant, Ivory, or Billy Crystal above the title. I am not interested."
Bobby," Wait a minute. Wait a minute. They're buying me a movie for my birthday. That's why we're here, right?"
Luanne," Really, Bobby. They haven't said anything."
Hank," Bobby, you ever heard of a movie called Cuffs & Collars?"
Bobby," Ooh, I think that's the one with the two cops who don't get along, but then they do, but it's too late, cause he's dead, but not really."
Hank, So you've seen it?
Bobby, No.
Hank," How about you, Luanne?"
Luanne," (shakes her head ""no"")"
Bobby," Oh no. You're not getting a movie, Bobby (laughs). You are so smooth."
Hank," No, we didn't rent it. So if you could please erase the $40 and penalize yourself whatever you think is fair, we'll be on our way."
Store Clerk," I am sorry, but the computer won't let me erase anything until you either return the tape or pay the $40."
Hank," I told you I didn't rent the tape, now who is calling me a liar, you or the machine? 'Cause I wanna know whose ass to kick!"
Store Clerk," I'm not calling you a liar, sir."
Hank, Fine. Now where's the ass on this thing?
Peggy," (sighs) I need a dryer, Hank. Just pay for the tape."
Hank," Absolutely not. I won't pay for someone else's screw up. Hell, I wouldn't be surprised if that tape was sitting on the shelf right now. Where would Cuff's & Collars be, Action Adventure, Action Comedy, Action Action?"
Store Clerk, Make a left.
